District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Melrose,40.8256703,-73.9152416,Porto Salvo,40.823887357573966,-73.91291020190582,Italian Restaurant
Melrose,40.8256703,-73.9152416,Perry Coffee Shop.,40.823181,-73.910928,Diner
Melrose,40.8256703,-73.9152416,Concourse Village,40.823697263722856,-73.91960652004613,Shopping Mall
Melrose,40.8256703,-73.9152416,Starbucks,40.82555649,-73.91886538,Coffee Shop
Melrose,40.8256703,-73.9152416,Chipotle Mexican Grill,40.8258905,-73.9195343,Mexican Restaurant
Melrose,40.8256703,-73.9152416,Cinco de Mayo,40.82267438620963,-73.9115917352008,Mexican Restaurant
Melrose,40.8256703,-73.9152416,Hungry Bird,40.82881986636983,-73.91682784225715,Indian Restaurant
Melrose,40.8256703,-73.9152416,Bamboo Lounge,40.82844696161257,-73.91690554747284,Lounge
Melrose,40.8256703,-73.9152416,Popeyes Louisiana Kitchen,40.824891930614044,-73.90952228078794,Fried Chicken Joint
Melrose,40.8256703,-73.9152416,United States Postal Service,40.823716999999995,-73.913899,Post Office
Melrose,40.8256703,-73.9152416,CVS pharmacy,40.824722443118176,-73.91983925235674,Pharmacy
Melrose,40.8256703,-73.9152416,Walgreens,40.82548068359946,-73.91878232359886,Pharmacy
Melrose,40.8256703,-73.9152416,GNC,40.824945,-73.920374,Supplement Shop
Melrose,40.8256703,-73.9152416,Food Bazaar Supermarket,40.82545152363555,-73.92035897608174,Supermarket
Melrose,40.8256703,-73.9152416,Subway,40.823119,-73.910767,Sandwich Place
Melrose,40.8256703,-73.9152416,SUBWAY,40.82563400268555,-73.91966247558594,Sandwich Place
Melrose,40.8256703,-73.9152416,Checkers,40.82550909854413,-73.91909211874008,Fast Food Restaurant
Melrose,40.8256703,-73.9152416,Dunkin',40.82554600541616,-73.91894764165238,Donut Shop
Melrose,40.8256703,-73.9152416,Days Inn Bronx-Yankee Stadium,40.82709185657714,-73.91200683739633,Hotel
Melrose,40.8256703,-73.9152416,Popeyes Louisiana Kitchen,40.82481101482993,-73.92069768220901,Fried Chicken Joint
Melrose,40.8256703,-73.9152416,PitStop,40.82611,-73.91529799999999,Convenience Store
Melrose,40.8256703,-73.9152416,Animal Feeds Inc.,40.82618393007116,-73.91489307828968,Pet Store
