District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
外滩街道,29.88755175,121.55338467430944,Raffles City 来福士广场,29.88470034483387,121.55310349548932,Shopping Mall
外滩街道,29.88755175,121.55338467430944,Starbucks (星巴克),29.884264374008925,121.55304775011203,Coffee Shop
外滩街道,29.88755175,121.55338467430944,Burger King (汉堡王),29.885321434525448,121.55293068473114,Fast Food Restaurant
外滩街道,29.88755175,121.55338467430944,外婆家（莱福士店）,29.885708779025574,121.55351601043627,Zhejiang Restaurant
外滩街道,29.88755175,121.55338467430944,中影国际影城（来福士店）,29.885267750709627,121.55299757924918,Movie Theater
外滩街道,29.88755175,121.55338467430944,Golden Pepper Restaurant 金胡椒泰国餐厅,29.885183481287783,121.55348813785163,Thai Restaurant
外滩街道,29.88755175,121.55338467430944,Paris Baguette (巴黎贝甜),29.885155519069624,121.55354945752889,Bakery
外滩街道,29.88755175,121.55338467430944,Waitan Bridge Metro Station (地铁外滩大桥站),29.885006615233085,121.55434370040892,Metro Station
豫园街道,31.2273624,121.48306129999999,Yu Garden Café,31.229481629168674,121.48350119590759,Café
豫园街道,31.2273624,121.48306129999999,Club Lounge,31.229391064403224,121.48347170753908,Hotel Bar
豫园街道,31.2273624,121.48306129999999,Renaissance Shanghai Yu Garden Hotel (上海豫园万丽酒店),31.22945799636924,121.48345636655094,Hotel
豫园街道,31.2273624,121.48306129999999,JZ Latino,31.229493333783676,121.48369621698602,Lounge
豫园街道,31.2273624,121.48306129999999,Yu Garden (豫园),31.228922449156435,121.48798249661922,Garden
豫园街道,31.2273624,121.48306129999999,Shanghai Old Street (上海老街),31.2270969768864,121.48706522608273,Historic Site
豫园街道,31.2273624,121.48306129999999,Hong Kong Metropolis (香港名都),31.225289262432494,121.48492134288914,Department Store
豫园街道,31.2273624,121.48306129999999,City of God Temple (城隍庙),31.227755716672497,121.48790672421455,Buddhist Temple
豫园街道,31.2273624,121.48306129999999,Yang's Dumpling (小杨生煎),31.224353200267586,121.48523195159105,Fast Food Restaurant
豫园街道,31.2273624,121.48306129999999,Din Tai Fung (鼎泰丰),31.226933784506198,121.48792047756491,Dumpling Restaurant
豫园街道,31.2273624,121.48306129999999,Starbucks (星巴克),31.230285129677963,121.4860779604561,Coffee Shop
豫园街道,31.2273624,121.48306129999999,McDonald's (麦当劳),31.227476733707174,121.48684052225843,Fast Food Restaurant
豫园街道,31.2273624,121.48306129999999,Starbucks (星巴克),31.224734,121.485087,Coffee Shop
豫园街道,31.2273624,121.48306129999999,Yuyuan Classical Street (豫园老街),31.22981313695792,121.48661342761005,Pedestrian Plaza
豫园街道,31.2273624,121.48306129999999,Starbucks (星巴克),31.22964012771435,121.48010398606417,Coffee Shop
豫园街道,31.2273624,121.48306129999999,Chalet plus (夏蕾+) (夏蕾+),31.229817082765,121.48009792772372,Bar
豫园街道,31.2273624,121.48306129999999,SSAW Hotel Shanghai (上海中星君亭酒店),31.229694171879636,121.47994375711127,Hotel
豫园街道,31.2273624,121.48306129999999,Pizza Hut (必胜客),31.23041827183292,121.48609469384238,Pizza Place
豫园街道,31.2273624,121.48306129999999,Costa Coffee (咖世家),31.226842885699735,121.48780706417091,Coffee Shop
豫园街道,31.2273624,121.48306129999999,"Old Shanghai City God Temple ""Global"" Food Court (上海老城皇庙小吃广场)",31.227854033258716,121.48735372398397,Food Court
豫园街道,31.2273624,121.48306129999999,上海老饭店,31.22954872548505,121.48644312067943,Chinese Restaurant
豫园街道,31.2273624,121.48306129999999,Tesco,31.22527333460098,121.48495232474336,Supermarket
豫园街道,31.2273624,121.48306129999999,Nanxiang Steamed Bun Restaurant (南翔馒头店),31.228740060460787,121.48693223823261,Dumpling Restaurant
豫园街道,31.2273624,121.48306129999999,Yuyuan Tourist Mart (豫园商城),31.227912648814147,121.48718235873046,Market
豫园街道,31.2273624,121.48306129999999,Pizza Hut (必胜客),31.230271222450764,121.4861341851731,Pizza Place
豫园街道,31.2273624,121.48306129999999,Bus Station (Renmin Rd),31.230101222506374,121.48155427912243,Bus Station
豫园街道,31.2273624,121.48306129999999,Yanfu Greenland 延福绿地,31.23050103041004,121.4822626848586,Park
豫园街道,31.2273624,121.48306129999999,Lake-center Tea House (湖心亭茶楼),31.228562419353512,121.48723877217489,Tea Room
豫园街道,31.2273624,121.48306129999999,McDonald's (麦当劳),31.230084325838586,121.48612058051047,Fast Food Restaurant
豫园街道,31.2273624,121.48306129999999,老凤祥银楼,31.22982036597176,121.48588273743631,Jewelry Store
豫园街道,31.2273624,121.48306129999999,Kobayashi,31.22912071434838,121.48676402729807,Bakery
豫园街道,31.2273624,121.48306129999999,寧波湯糰店 Ning Bo Dumplings,31.228441,121.487285,Dumpling Restaurant
豫园街道,31.2273624,121.48306129999999,"Hotelyun, Shanghai.",31.223907175427396,121.48499028512781,Hotel
豫园街道,31.2273624,121.48306129999999,道顺射箭馆,31.22400777860607,121.48555364645318,Athletics & Sports
豫园街道,31.2273624,121.48306129999999,Kedi (可的),31.231422157913297,121.48223500794013,Convenience Store
豫园街道,31.2273624,121.48306129999999,Yu Fashion Garden,31.227184484362564,121.4880524832372,Shopping Mall
小东门街道,31.221935600000002,121.49657959999999,The Roof At Waterhouse,31.22216093522785,121.5012328936293,Hotel Bar
小东门街道,31.221935600000002,121.49657959999999,The Waterhouse at South Bund (上海南外滩酒店),31.222215225264783,121.5012679589067,Hotel
小东门街道,31.221935600000002,121.49657959999999,Kebabs on the Grille,31.221645177234073,121.50141356310071,Indian Restaurant
小东门街道,31.221935600000002,121.49657959999999,Starbucks (星巴克),31.225754250457296,121.49628487392557,Coffee Shop
小东门街道,31.221935600000002,121.49657959999999,Strictly Designers United,31.223837023553283,121.49762009568997,Furniture / Home Store
小东门街道,31.221935600000002,121.49657959999999,Vespertine & Nimbus Lounge,31.22194498696615,121.5008749008038,Lounge
小东门街道,31.221935600000002,121.49657959999999,The Cool Docks (老码头),31.221224486739185,121.50134325027466,Shopping Plaza
小东门街道,31.221935600000002,121.49657959999999,La Bota Bund Docks,31.221894259619138,121.50099992752074,Tapas Restaurant
小东门街道,31.221935600000002,121.49657959999999,Top Choice,31.221618979849584,121.5013118132978,Café
