District,Latitude,Longitude,Borough
外滩街道,29.88755175,121.55338467430944,黄浦区
豫园街道,31.2273624,121.4830613,黄浦区
小东门街道,31.2219356,121.4965796,黄浦区
老西门街道,31.2171507,121.4816021,黄浦区
打浦桥街道,31.2056211,121.4687168,黄浦区
五里桥街道,31.2028865,121.4770209,黄浦区
南京东路街道,31.2282844,121.467424,黄浦区
半淞园路街道,31.2090944,121.4827018,黄浦区
淮海中路街道,31.2169213,121.4712274,黄浦区
瑞金二路街道,31.2192886,121.4625343,黄浦区
龙华街道,22.6587573,114.01449,徐汇区
长桥街道,31.25371215,120.61038498518349,徐汇区
田林街道,50.9884222,11.3299251,徐汇区
湖南路街道,40.0285928,139.9241924,徐汇区
天平路街道,39.177749,117.1250705,徐汇区
枫林路街道,37.5117374,121.4402328,徐汇区
徐家汇街道,31.1963162,121.4313608,徐汇区
斜土路街道,40.6194077,109.86303295837365,徐汇区
漕河泾街道,31.1662111,121.4286293,徐汇区
虹梅路街道,31.1622429,121.3926923,徐汇区
凌云路街道,23.2291594,113.2928279,徐汇区
康健新村街道,29.3111989,117.2058923,徐汇区
虹桥街道,26.7870682,112.1187177,长宁区
华阳路街道,36.0839572,120.3353449,长宁区
新华路街道,38.7085962,116.1144996,长宁区
江苏路街道,36.0684971,120.3319197,长宁区
天山路街道,45.594717,84.8548364,长宁区
周家桥街道,28.9669763,115.9401731,长宁区
程家桥街道,31.5790406,130.5614081,长宁区
北新泾街道,31.218802,121.36812,长宁区
仙霞新村街道,35.4374105,139.6601933,长宁区
北站街道,40.3441416,120.3126711,静安区
临汾路街道,36.1864128,120.3722194,静安区
宝山路街道,31.253457599999997,121.471792,静安区
江宁路街道,31.241971,121.443156,静安区
静安寺街道,31.2264779,121.438873,静安区
曹家渡街道,31.2313924,121.4352329,静安区
大宁路街道,25.0213156,121.2634774,静安区
南京西路街道,31.2244219,121.4477857,静安区
天目西路街道,31.2489416,121.4566157,静安区
芷江西路街道,31.2603114,121.4602505,静安区
石门二路街道,31.2376942,121.4528511,静安区
共和新路街道,31.2483488,121.458495,静安区
彭浦新村街道,31.3074944,121.4439361,静安区
万里街道,31.2738576,121.400429,普陀区
长寿路街道,31.2412717,121.429651,普陀区
宜川路街道,31.2573832,121.4395862,普陀区
甘泉路街道,31.2635326,121.426058,普陀区
石泉路街道,31.257175,121.4196271,普陀区
真如镇街道,31.2585858,121.3963144,普陀区
曹杨新村街道,31.243704,121.4056342,普陀区
长风新村街道,31.2318238,121.4061499,普陀区
北外滩街道,29.88755175,121.55338467430944,虹口区
欧阳路街道,31.2722284,121.4832022,虹口区
广中路街道,25.1032073,110.2838995,虹口区
嘉兴路街道,36.1090463,120.3510414,虹口区
曲阳路街道,31.278536,121.4857918,虹口区
江湾镇街道,29.35689645,118.07348848691339,虹口区
四川北路街道,31.2453432,121.4814071,虹口区
凉城新村街道,27.8490128,102.2650495,虹口区
殷行街道,39.536485,118.0884167,杨浦区
大桥街道,36.7799,117.0265199,杨浦区
平凉路街道,31.273847,121.5434927,杨浦区
江浦路街道,29.817962,106.159272,杨浦区
控江路街道,31.2755949,121.5077941,杨浦区
长海路街道,37.0268611,121.9739008,杨浦区
五角场街道,31.3064494,121.5125653,杨浦区
四平路街道,36.0858558,120.3529756,杨浦区
定海路街道,37.1888783,119.9390674,杨浦区
新江湾城街道,31.3307804,121.5023484,杨浦区
延吉新村街道,29.3111989,117.2058923,杨浦区
古美街道,9.9313167,115.5221101,闵行区
新虹街道,22.6927786,120.3510529,闵行区
浦锦街道,31.2322758,121.4692071,闵行区
江川路街道,31.0113391,121.4130041,闵行区
吴淞街道,31.3745763,121.4895071,宝山区
张庙街道,31.3385346,121.4372383,宝山区
友谊路街道,43.8936877,87.51425225469008,宝山区
真新街道,31.2462706,121.3556599,嘉定区
嘉定镇街道,31.3861987,121.2461028,嘉定区
新成路街道,31.3883629,121.2653418,嘉定区
花木街道,36.3991761,139.7594944,浦东新区
洋泾街道,31.241739350000003,121.54317680114835,浦东新区
塘桥街道,40.1840602,117.5932807,浦东新区
浦兴路街道,31.2687801,121.5839936,浦东新区
陆家嘴街道,31.24016825,121.49794463601899,浦东新区
周家渡街道,31.18714625,121.4892365,浦东新区
东明路街道,33.8786801,115.4537153,浦东新区
上钢新村街道,29.3111989,117.2058923,浦东新区
沪东新村街道,39.6349762,118.21683,浦东新区
金杨新村街道,29.3111989,117.2058923,浦东新区
南码头路街道,31.191186,121.5081099,浦东新区
潍坊新村街道,34.8011479,135.6328833,浦东新区
石化街道,30.7278708,121.3321733,金山区
岳阳街道,31.0182765,121.2313372,松江区
中山街道,31.0384758,121.24118,松江区
永丰街道,30.5659165,114.16954189233239,松江区
方松街道,31.046825400000003,121.20148303626398,松江区
广富林街道,31.051115,121.217627,松江区
九里亭街道,31.1434576,121.3065846,松江区
夏阳街道,31.1501939,121.120585,青浦区
盈浦街道,31.1475268,121.1098573,青浦区
香花桥街道,31.1731032,121.1180277,青浦区
西渡街道,31.2322758,121.4692071,奉贤区
奉浦街道,30.492517,116.35097,奉贤区
金海街道,42.8300763,130.3734902,奉贤区
新村乡,31.8311419,121.3276315,崇明区
横沙乡,31.3427721,121.8375283,崇明区
