Borough,District,Latitude,Longitude
Bronx CB 1,Melrose,40.8256703,-73.9152416
Bronx CB 1, Port Morris,40.8015147,-73.9095811
Bronx CB 2, Longwood,42.9531152,-78.3694646
Bronx CB 3, Concourse Village,40.823868149999996,-73.92118091218828
Bronx CB 3, Morrisania,40.8292672,-73.9065253
Bronx CB 4, Highbridge,40.84591775,-73.92984478686536
Bronx CB 5, Morris Heights,40.8498223,-73.919859
Bronx CB 5, University Heights,40.8618406,-73.9135154
Bronx CB 6, Belmont,42.2231241,-78.0344506
Bronx CB 6, West Farms,40.8398226,-73.8776356
Bronx CB 7, Norwood,44.75161,-74.994392
Bronx CB 8,Fieldston,40.8944444,-73.9033333
Bronx CB 8, Kingsbridge Heights,40.8725702,-73.9026619
Bronx CB 8, Riverdale,40.90056,-73.90639
Bronx CB 8, Van Cortlandt Village,41.2486935,-73.90858593483966
Bronx CB 9, Bruckner,40.8266667,-73.8286111
Bronx CB 9, Clason Point,40.8147164,-73.8599648
Bronx CB 9, Parkchester,40.8332047,-73.8609723
Bronx CB 9, Unionport,40.8273229,-73.8501349
Bronx CB 10, Co-op City,40.8738889,-73.8294444
Bronx CB 10, Pelham Bay,40.8662112,-73.7895774
Bronx CB 10, Throgs Neck,40.8226008,-73.8195784
Bronx CB 11,Allerton,40.8654299,-73.8673652
Bronx CB 11, Indian Village,42.9439553,-76.1624253
Bronx CB 11, Morris Park,40.8545235,-73.8602968
Bronx CB 11, Pelham Parkway,40.8588576,-73.8554627
Bronx CB 12,Baychester,40.8612222,-73.8412865
Bronx CB 12, Eastchester,40.9610563,-73.8064739
Bronx CB 12, Olinville,40.882014,-73.866201
Bronx CB 12, Williamsbridge,40.87762425,-73.87752006260061
Brooklyn CB 1,Greenpoint,40.7237134,-73.9509714
Brooklyn CB 1, Williamsburg Houses,40.70962095,-73.94186815686678
Brooklyn CB 2, Brooklyn Heights,40.696084850000005,-73.9950278391265
Brooklyn CB 2, Clinton Hill,40.6897222,-73.9652778
Brooklyn CB 2, Fort Greene,40.6907711,-73.9766245
