Postal Code,Latitude,Longitude,District
M1B,43.8066863,-79.1943534,Malvern
M1C,43.7845351,-79.1604971,Rouge Hill
M1E,43.7635726,-79.1887115,Guildwood
M1G,43.7709921,-79.2169174,Woburn
M1H,43.773136,-79.2394761,Cedarbrae
M1J,43.7447342,-79.2394761,Scarborough Village
M1K,43.7279292,-79.2620294,Kennedy Park
M1L,43.7111117,-79.2845772,Golden Mile
M1M,43.716316,-79.2394761,Cliffside
M1N,43.692657,-79.2648481,Birch Cliff
M1P,43.7574096,-79.273304,Dorset Park
M1R,43.7500715,-79.2958491,Wexford
M1S,43.7942003,-79.2620294,Agincourt
M1T,43.7816375,-79.3043021,Clarks Corners
M1V,43.8152522,-79.2845772,Milliken
M1W,43.7995252,-79.3183887,Steeles West
M1X,43.8361247,-79.2056361,Upper Rouge
M2H,43.8037622,-79.3634517,Hillcrest Village
M2J,43.7785175,-79.3465557,Fairview
M2K,43.7869473,-79.385975,Bayview Village
M2L,43.7574902,-79.3747141,York Mills
M2M,43.789053,-79.4084928,Willowdale
M2N,43.7701199,-79.4084928,Willowdale
M2P,43.7527583,-79.4000493,York Mills West
M2R,43.7827364,-79.4422593,Willowdale
M3A,43.7532586,-79.3296565,Parkwoods
M3B,43.7459058,-79.352188,Don Mills
M3C,43.7258997,-79.340923,Don Mills
M3H,43.7543283,-79.4422593,Bathurst Manor
M3J,43.7679803,-79.4872619,Northwood Park
M3K,43.7374732,-79.4647633,Downsview
M3L,43.7390146,-79.5069436,Downsview
M3M,43.7284964,-79.4956974,Downsview
M3N,43.7616313,-79.5209994,Downsview
M4A,43.7258823,-79.3155716,Victoria Village
M4B,43.7063972,-79.309937,Parkview Hill
M4C,43.6953439,-79.3183887,Woodbine Heights
M4E,43.6763574,-79.2930312,The Beaches
M4G,43.7090604,-79.3634517,Leaside
M4H,43.7053689,-79.3493719,Thorncliffe Park
M4J,43.685347,-79.3381065,East Toronto
M4K,43.6795571,-79.352188,The Danforth West
M4L,43.6689985,-79.3155716,India Bazaar
M4M,43.6595255,-79.340923,Studio District
M4N,43.7280205,-79.3887901,Lawrence Park
M4P,43.7127511,-79.3901975,Davisville North
M4R,43.7153834,-79.4056784,North Toronto West
M4S,43.7043244,-79.3887901,Davisville
M4T,43.6895743,-79.3831599,Moore Park
M4V,43.6864123,-79.4000493,Summerhill West
M4W,43.6795626,-79.3775294,Rosedale
M4X,43.667967,-79.3676753,St. James Town
M4Y,43.6658599,-79.3831599,Church and Wellesley
M5A,43.6542599,-79.3606359,Regent Park
M5B,43.6571618,-79.3789371,Garden District
M5C,43.6514939,-79.3754179,St. James Town
M5E,43.6447708,-79.3733064,Berczy Park
M5G,43.6579524,-79.3873826,Central Bay Street
M5H,43.6505712,-79.3845675,Richmond
M5J,43.6408157,-79.3817523,Harbourfront East
M5K,43.6471768,-79.3815764,Toronto Dominion Centre
M5L,43.6481985,-79.3798169,Commerce Court
M5M,43.7332825,-79.4197497,Bedford Park
M5N,43.7116948,-79.4169356,Roselawn
M5P,43.6969476,-79.4113072,Forest Hill North & West
M5R,43.6727097,-79.4056784,The Annex
M5S,43.6626956,-79.4000493,University of Toronto
M5T,43.6532057,-79.4000493,Kensington Market
M5V,43.6289467,-79.3944199,CN Tower
M5W,43.6464352,-79.374846,Stn A PO Boxes
M5X,43.6484292,-79.3822802,First Canadian Place
M6A,43.718518,-79.4647633,Lawrence Manor
M6B,43.709577,-79.4450726,Glencairn
M6C,43.6937813,-79.4281914,Humewood-Cedarvale
M6E,43.6890256,-79.453512,Caledonia-Fairbanks
M6G,43.669542,-79.4225637,Christie
M6H,43.6690051,-79.4422593,Dufferin
M6J,43.6479267,-79.4197497,Little Portugal
M6K,43.6368472,-79.4281914,Brockton
M6L,43.7137562,-79.4900738,North Park
M6M,43.6911158,-79.4760133,Del Ray
M6N,43.6731853,-79.4872619,Runnymede
M6P,43.6616083,-79.4647633,High Park
M6R,43.6489597,-79.456325,Parkdale
M6S,43.6515706,-79.4844499,Runnymede
M7A,43.6623015,-79.3894938,Queen's Park
M7R,43.6369656,-79.615819,Canada Post Gateway Processing Centre
M7Y,43.6627439,-79.321558,Business reply mail Processing Centre
M8V,43.6056466,-79.5013207,New Toronto
M8W,43.6024137,-79.5434841,Alderwood
M8X,43.6536536,-79.5069436,The Kingsway
M8Y,43.6362579,-79.4985091,Old Mill South
M8Z,43.6288408,-79.5209994,Mimico NW
M9A,43.6678556,-79.5322424,Islington Avenue
M9B,43.6509432,-79.5547244,West Deane Park
M9C,43.6435152,-79.5772008,Eringate
M9L,43.7563033,-79.5659633,Humber Summit
M9M,43.7247659,-79.5322424,Humberlea
M9N,43.706876,-79.5181884,Weston
M9P,43.696319,-79.5322424,Westmount
M9R,43.6889054,-79.5547244,Kingsview Village
M9V,43.7394164,-79.5884369,South Steeles
M9W,43.7067483,-79.5940544,Northwest
