District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Malvern,43.806686299999996,-79.19435340000001,Wendy’s,43.80744841934756,-79.19905558052072,Fast Food Restaurant
Rouge Hill,43.7845351,-79.16049709999999,Great Shine Window Cleaning,43.7831452,-79.1574307,Home Service
Rouge Hill,43.7845351,-79.16049709999999,Royal Canadian Legion,43.78253332838298,-79.16308473261682,Bar
Guildwood,43.7635726,-79.1887115,RBC Royal Bank,43.76678992471017,-79.19115118872593,Bank
Guildwood,43.7635726,-79.1887115,G & G Electronics,43.765309,-79.191537,Electronics Store
Guildwood,43.7635726,-79.1887115,Sail Sushi,43.765951,-79.191275,Restaurant
Guildwood,43.7635726,-79.1887115,Big Bite Burrito,43.766299084470795,-79.19071980583941,Mexican Restaurant
Guildwood,43.7635726,-79.1887115,Enterprise Rent-A-Car,43.7640757,-79.1934057,Rental Car Location
Guildwood,43.7635726,-79.1887115,Woburn Medical Centre,43.766631153138455,-79.19228553771973,Medical Center
Guildwood,43.7635726,-79.1887115,Lawrence Ave E & Kingston Rd,43.767704,-79.18949,Intersection
Guildwood,43.7635726,-79.1887115,Eggsmart,43.7678,-79.190466,Breakfast Spot
Woburn,43.7709921,-79.21691740000001,Starbucks,43.770037201625215,-79.22115586641958,Coffee Shop
Woburn,43.7709921,-79.21691740000001,Tim Hortons,43.7708270725628,-79.22307810384153,Coffee Shop
Woburn,43.7709921,-79.21691740000001,Korean Grill House,43.7708117291354,-79.21450208834013,Korean BBQ Restaurant
Cedarbrae,43.773136,-79.23947609999999,Drupati's Roti & Doubles,43.775222138791534,-79.24167761001029,Caribbean Restaurant
Cedarbrae,43.773136,-79.23947609999999,Federick Restaurant,43.77469659057996,-79.24114242818267,Hakka Restaurant
Cedarbrae,43.773136,-79.23947609999999,Thai One On,43.77446763641413,-79.24126833717742,Thai Restaurant
Cedarbrae,43.773136,-79.23947609999999,Centennial Recreation Centre,43.77459330890341,-79.23649962433035,Athletics & Sports
Cedarbrae,43.773136,-79.23947609999999,TD Canada Trust,43.7748302,-79.2412514,Bank
Cedarbrae,43.773136,-79.23947609999999,B&A Bakery,43.77439074389114,-79.24387684648542,Bakery
Cedarbrae,43.773136,-79.23947609999999,Petro-Canada,43.774106,-79.243097,Gas Station
Cedarbrae,43.773136,-79.23947609999999,Popeyes Louisiana Kitchen,43.7759298356196,-79.23532833470263,Fried Chicken Joint
Scarborough Village,43.7447342,-79.23947609999999,McCowan Park,43.74508851212816,-79.239335687338,Playground
Scarborough Village,43.7447342,-79.23947609999999,Tumbe Cafe,43.744058,-79.244021,Grocery Store
Kennedy Park,43.7279292,-79.26202940000002,Giant Tiger,43.72744662939136,-79.26624035854763,Department Store
Kennedy Park,43.7279292,-79.26202940000002,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
Kennedy Park,43.7279292,-79.26202940000002,Dollarama,43.727092,-79.265784,Discount Store
Kennedy Park,43.7279292,-79.26202940000002,Tandy Leather,43.7269737868054,-79.26651349240451,Hobby Shop
Kennedy Park,43.7279292,-79.26202940000002,Kennedy Station Passenger Pickup,43.73200926072711,-79.26453709017373,Bus Station
Golden Mile,43.711111700000004,-79.2845772,Dairy Queen,43.71037770465013,-79.29070115089417,Ice Cream Shop
Golden Mile,43.711111700000004,-79.2845772,Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
Golden Mile,43.711111700000004,-79.2845772,TTC Bus #68 Warden,43.71177810997778,-79.27971412913774,Bus Line
Golden Mile,43.711111700000004,-79.2845772,Warden Station Bus Loop,43.71124084776515,-79.27957605867647,Bus Station
Golden Mile,43.711111700000004,-79.2845772,TTC Bus 102 Markham Road,43.711381420906115,-79.27958752636661,Bus Line
Golden Mile,43.711111700000004,-79.2845772,Bakery On The Go,43.711270905205765,-79.27950587661704,Bakery
Golden Mile,43.711111700000004,-79.2845772,Cafe on the go,43.71115104374148,-79.27946923512921,Bakery
Golden Mile,43.711111700000004,-79.2845772,Warden Woods Park,43.71052711027375,-79.27896551895955,Park
Golden Mile,43.711111700000004,-79.2845772,Clairlea Futbol Centre,43.71523429184505,-79.28650639185544,Soccer Field
Cliffside,43.716316,-79.23947609999999,Have A Nap Motel,43.718256,-79.240135,Motel
Cliffside,43.716316,-79.23947609999999,Vincent's Spot,43.71700152544261,-79.24235338465942,American Restaurant
Birch Cliff,43.692657000000004,-79.2648481,The Birchcliff,43.69166644406541,-79.26453158481682,Café
Birch Cliff,43.692657000000004,-79.2648481,Birchmount Community Centre,43.69517507509799,-79.26216087070237,General Entertainment
Birch Cliff,43.692657000000004,-79.2648481,Scarborough Gardens,43.6946465192162,-79.26223031725522,Skating Rink
Birch Cliff,43.692657000000004,-79.2648481,Birchmount Stadium,43.695322867712626,-79.26129341125488,College Stadium
Dorset Park,43.7574096,-79.27330400000001,Kairali,43.754914739291834,-79.27694504646365,Indian Restaurant
Dorset Park,43.7574096,-79.27330400000001,Kim Kim restaurant,43.75383283792732,-79.27661122245037,Chinese Restaurant
Dorset Park,43.7574096,-79.27330400000001,Karaikudi Chettinad South Indian Restaurant,43.756041539453136,-79.27627591942013,Indian Restaurant
Dorset Park,43.7574096,-79.27330400000001,Pho Vietnam,43.757770305647185,-79.27857193068989,Vietnamese Restaurant
Dorset Park,43.7574096,-79.27330400000001,Big Al's Pet Supercentre,43.75927894411595,-79.27832544749343,Pet Store
Dorset Park,43.7574096,-79.27330400000001,Scarborough LRT,43.75646495188919,-79.2721939086914,Light Rail Station
Dorset Park,43.7574096,-79.27330400000001,Mill St. Brewery,43.759471599836886,-79.27112102508545,Brewery
Dorset Park,43.7574096,-79.27330400000001,Salvation Army Thrift Store,43.755782105509475,-79.2762077195083,Thrift / Vintage Store
Wexford,43.750071500000004,-79.2958491,Crown Pastries,43.746098,-79.293142,Bakery
Wexford,43.750071500000004,-79.2958491,Subway,43.746267251959516,-79.29319313129918,Sandwich Place
Wexford,43.750071500000004,-79.2958491,Lebanese bakery,43.74670137305754,-79.29289639281615,Middle Eastern Restaurant
Wexford,43.750071500000004,-79.2958491,Wexford Heights Plaza,43.74613567457937,-79.29378248248864,Shopping Mall
Wexford,43.750071500000004,-79.2958491,Frank's Smoke Shop,43.74589,-79.29494,Smoke Shop
Wexford,43.750071500000004,-79.2958491,Scarborough Garage Door Repair,43.75128820404063,-79.30150777101517,Auto Garage
Wexford,43.750071500000004,-79.2958491,Banh Mi Metro,43.74583,-79.295309,Vietnamese Restaurant
Agincourt,43.7942003,-79.26202940000002,Panagio's Breakfast & Lunch,43.79237001092506,-79.26020325805978,Breakfast Spot
Agincourt,43.7942003,-79.26202940000002,El Pulgarcito,43.792647695283875,-79.25920775335268,Latin American Restaurant
Agincourt,43.7942003,-79.26202940000002,Twilight,43.791999483291015,-79.25858447143591,Lounge
Agincourt,43.7942003,-79.26202940000002,Mark's,43.791178865505806,-79.25971427359902,Clothing Store
Agincourt,43.7942003,-79.26202940000002,Commander Arena,43.794867324063404,-79.26798888527924,Skating Rink
Clarks Corners,43.7816375,-79.3043021,Remezzo Italian Bistro,43.778649,-79.308264,Italian Restaurant
Clarks Corners,43.7816375,-79.3043021,The Royal Chinese Restaurant 避風塘小炒,43.78050473445372,-79.29884391314476,Chinese Restaurant
Clarks Corners,43.7816375,-79.3043021,Eight Noodles,43.77823412485005,-79.30829897588661,Noodle House
Clarks Corners,43.7816375,-79.3043021,Kub Khao,43.780437780734204,-79.2998370364667,Thai Restaurant
Clarks Corners,43.7816375,-79.3043021,TD Canada Trust,43.7791686,-79.3036167,Bank
Clarks Corners,43.7816375,-79.3043021,KFC,43.7804,-79.3007,Fast Food Restaurant
Clarks Corners,43.7816375,-79.3043021,Petro-Canada,43.779337,-79.307682,Gas Station
